,timestamp,user,tweet,lat,lon,lang_langid,lang_langdetect,lang_textblob
525,2021-11-16 09:46:21-06:00,@ryanchio,I'm at Tehotihuacan https://t.co/aOaZk1FWCy,19.682312,-98.85027,en,id,en
529,2021-11-16 09:46:35-06:00,@ryanchio,"I'm at Pirámide del Sol in Teotihuacán de Arista, MEX https://t.co/o14Fzy4GZf",19.69236,-98.843666,es,ca,ca
677,2021-11-16 15:19:47-06:00,@ProducLOSPLEBES,Agenda oficial y actualizada de @ranchoeljazminal_ agenda llena para las #BestiasEndemonidas y para los… https://t.co/Z7zwZzkVEA,20.078506,-98.73806,es,es,es
700,2021-11-16 15:24:03-06:00,@GamersGNG,A... Mamonsito estrenando lentes 🔥🔥🔥 @ Shean Tv https://t.co/R1LdrY6ISg,19.648418,-98.99443,eo,pt,es
870,2021-11-16 15:51:04-06:00,@almademin,Just posted a photo @ Cancún y Riviera Maya https://t.co/2nKMv7AYkt,19.433725,-99.084656,es,en,es
1025,2021-11-16 09:46:21-06:00,@ryanchio,I'm at Tehotihuacan https://t.co/aOaZk1FWCy,19.682312,-98.85027,en,id,en
1029,2021-11-16 09:46:35-06:00,@ryanchio,"I'm at Pirámide del Sol in Teotihuacán de Arista, MEX https://t.co/o14Fzy4GZf",19.69236,-98.843666,es,es,ca
1177,2021-11-16 15:19:47-06:00,@ProducLOSPLEBES,Agenda oficial y actualizada de @ranchoeljazminal_ agenda llena para las #BestiasEndemonidas y para los… https://t.co/Z7zwZzkVEA,20.078506,-98.73806,es,es,es
1200,2021-11-16 15:24:03-06:00,@GamersGNG,A... Mamonsito estrenando lentes 🔥🔥🔥 @ Shean Tv https://t.co/R1LdrY6ISg,19.648418,-98.99443,eo,en,es
1370,2021-11-16 15:51:04-06:00,@almademin,Just posted a photo @ Cancún y Riviera Maya https://t.co/2nKMv7AYkt,19.433725,-99.084656,es,en,es
1525,2021-11-16 09:46:21-06:00,@ryanchio,I'm at Tehotihuacan https://t.co/aOaZk1FWCy,19.682312,-98.85027,en,id,en
1529,2021-11-16 09:46:35-06:00,@ryanchio,"I'm at Pirámide del Sol in Teotihuacán de Arista, MEX https://t.co/o14Fzy4GZf",19.69236,-98.843666,es,ca,ca
1677,2021-11-16 15:19:47-06:00,@ProducLOSPLEBES,Agenda oficial y actualizada de @ranchoeljazminal_ agenda llena para las #BestiasEndemonidas y para los… https://t.co/Z7zwZzkVEA,20.078506,-98.73806,es,es,es
1700,2021-11-16 15:24:03-06:00,@GamersGNG,A... Mamonsito estrenando lentes 🔥🔥🔥 @ Shean Tv https://t.co/R1LdrY6ISg,19.648418,-98.99443,eo,en,es
1870,2021-11-16 15:51:04-06:00,@almademin,Just posted a photo @ Cancún y Riviera Maya https://t.co/2nKMv7AYkt,19.433725,-99.084656,es,en,es
2025,2021-11-16 09:46:21-06:00,@ryanchio,I'm at Tehotihuacan https://t.co/aOaZk1FWCy,19.682312,-98.85027,en,id,en
2029,2021-11-16 09:46:35-06:00,@ryanchio,"I'm at Pirámide del Sol in Teotihuacán de Arista, MEX https://t.co/o14Fzy4GZf",19.69236,-98.843666,es,ca,ca
2177,2021-11-16 15:19:47-06:00,@ProducLOSPLEBES,Agenda oficial y actualizada de @ranchoeljazminal_ agenda llena para las #BestiasEndemonidas y para los… https://t.co/Z7zwZzkVEA,20.078506,-98.73806,es,es,es
2200,2021-11-16 15:24:03-06:00,@GamersGNG,A... Mamonsito estrenando lentes 🔥🔥🔥 @ Shean Tv https://t.co/R1LdrY6ISg,19.648418,-98.99443,eo,pt,es
2370,2021-11-16 15:51:04-06:00,@almademin,Just posted a photo @ Cancún y Riviera Maya https://t.co/2nKMv7AYkt,19.433725,-99.084656,es,en,es
2525,@ryanchio,2021-11-16 15:46:21+00:00,I'm at Tehotihuacan https://t.co/aOaZk1FWCy,19.682312,-98.85027,en,id,en
2529,@ryanchio,2021-11-16 15:46:35+00:00,"I'm at Pirámide del Sol in Teotihuacán de Arista, MEX https://t.co/o14Fzy4GZf",19.69236,-98.843666,es,es,ca
2677,@ProducLOSPLEBES,2021-11-16 21:19:47+00:00,Agenda oficial y actualizada de @ranchoeljazminal_ agenda llena para las #BestiasEndemonidas y para los… https://t.co/Z7zwZzkVEA,20.078506,-98.73806,es,es,es
2700,@GamersGNG,2021-11-16 21:24:03+00:00,A... Mamonsito estrenando lentes 🔥🔥🔥 @ Shean Tv https://t.co/R1LdrY6ISg,19.648418,-98.99443,eo,en,es
2870,@almademin,2021-11-16 21:51:04+00:00,Just posted a photo @ Cancún y Riviera Maya https://t.co/2nKMv7AYkt,19.433725,-99.084656,es,en,es
3025,@ryanchio,2021-11-16 15:46:21+00:00,I'm at Tehotihuacan https://t.co/aOaZk1FWCy,19.682312,-98.85027,en,id,en
3029,@ryanchio,2021-11-16 15:46:35+00:00,"I'm at Pirámide del Sol in Teotihuacán de Arista, MEX https://t.co/o14Fzy4GZf",19.69236,-98.843666,es,ca,ca
3177,@ProducLOSPLEBES,2021-11-16 21:19:47+00:00,Agenda oficial y actualizada de @ranchoeljazminal_ agenda llena para las #BestiasEndemonidas y para los… https://t.co/Z7zwZzkVEA,20.078506,-98.73806,es,es,es
3200,@GamersGNG,2021-11-16 21:24:03+00:00,A... Mamonsito estrenando lentes 🔥🔥🔥 @ Shean Tv https://t.co/R1LdrY6ISg,19.648418,-98.99443,eo,pt,es
3370,@almademin,2021-11-16 21:51:04+00:00,Just posted a photo @ Cancún y Riviera Maya https://t.co/2nKMv7AYkt,19.433725,-99.084656,es,en,es
