,timestamp,user,tweet,lat,lon,lang_langid,lang_langdetect,lang_textblob
7,2020-07-22 16:56:03-05:00,@OSCARLSAUCEDOH,Sigan 👉 gaboniprofessional #video NUEVO en #youtube OSCARLSH #oscarsaucedo #gaboni #gaboniprofessional #mexico… https://t.co/t8QcSSFcWk,22.264406,-97.78519,eo,es,es
74,2020-07-22 17:47:55-05:00,@ElliePerezMejia,💚 en Tampico https://t.co/POlVhi1zAQ,22.2553,-97.8686,si,es,es
91,2020-07-22 18:12:28-05:00,@OSCARLSAUCEDOH,Por el bien de #mexico🇲🇽 soy #antiamlo4tmorena Atte: #oscarsaucedo #amloveteya #amloco #amlopresidente… https://t.co/du2Fb4jbFc,22.279510000000002,-97.88662,an,es,es
99,2020-07-22 18:18:16-05:00,@RedPhoto_V,#love #volleyball #beautiful #fashion #tbt #a7iii #selfie #summer #art #repost #girl #fotografoslatinoss… https://t.co/cg9X1fJcit,22.26465,-97.78603000000001,en,en,en
147,2020-07-22 19:31:08-05:00,@VIZENZIO,Acaba de publicar una foto en Tampico https://t.co/kEsJeBTMf7,22.2553,-97.8686,es,es,es
179,2020-07-23 13:03:37-05:00,@drraulbarragan,"En valoración preparatoria exploramos a detalle las estructuras de la nariz, realizamos una valoración fotográfica… https://t.co/Q9mQWPjHjI",22.268698,-97.85919,es,es,es
317,2020-07-23 16:47:26-05:00,@LicDelasalud,Asesoría Nutricional lente🤓 Evaluación corporal 💪  Horarios de comida 🍽  Plan Alimenticio 🥗 Nosotros Te Asesoramos… https://t.co/ecLyjkTKMl,22.260176,-97.85096999999999,es,es,es
344,2020-07-23 17:05:03-05:00,@heidysusi,🙌💆🙇Masaje Antiestrés Ven y cambia tu día en 20 minutos!  De martes a domingo de 11 a 5 pm📞 8331675939  #masajes… https://t.co/kmiWfdIsul,22.262945000000002,-97.874344,an,es,es
348,2020-07-23 17:09:37-05:00,@JuLyaguiLeeRa,Snack box $370 servicio domicilio❤️🍱🎉 en Never Jalisco https://t.co/or56kycfIE,22.273281,-97.85351,eo,es,es
366,2020-07-23 17:19:45-05:00,@Chefangelgarcia,Negrilla!!   (Here we go again🥃🥃🥃) @ El Porvenir Restaurante https://t.co/ES7d8JFUgI,22.23376,-97.86721999999999,eo,en,es
392,2020-07-23 17:42:44-05:00,@OSCARLSAUCEDOH,Sigan 👉 gaboniprofessional #gaboni #gaboniprofessional 👍 en Escolleras Del Puerto De Tampico https://t.co/A2jAwyRm1i,22.264406,-97.78519,eo,it,es
509,2020-07-23 19:19:04-05:00,@Carlos__Lara,"A ver qué sale. 💦☀️ (@ Áreas Verdes del Metro in Tampico, Tamaulipas) https://t.co/bzb8IZ0480",22.236353,-97.85269,es,es,es
687,2020-07-24 09:26:03-05:00,@rufinoaguilera,💫 Respira paz y deja que la vida fluya   #YaEsViernes #YaMeroMiCumple #SeguimosEnPandemia #Lego en Tampico https://t.co/0SK7awKxVv,22.2553,-97.8686,es,es,es
744,2020-07-24 10:49:15-05:00,@Maurorc,Cuando el restaurante tiene buen gusto en elegir los colores de sus tazas #movimientociudadano en El Negro de Ozulu… https://t.co/JyKu7raT6f,22.26407,-97.8507,es,es,es
818,2020-07-24 12:07:27-05:00,@GabrielFHZ_art,"Aun tengo citas disponibles para este fin de semana amigos, manden mensaje si gustas cotiza o agendar estos días &lt;3… https://t.co/9NzYJxRSkA",22.269627,-97.873985,es,es,es
833,2020-07-24 12:34:51-05:00,@JoshGarc1a,Nunca dudes de lo maravillosa que puede ser la vida si encuentras a la persona correcta #Tampico #Wekkend #Madero… https://t.co/nwEStNzKmE,22.281025,-97.84379,es,es,es
840,2020-07-24 12:41:17-05:00,@heidysusi,Masaje Antiestrés Cambia tu día en 20 minutos!! Alivia tensión y/o dolor de : ✔️Cabeza ✔️Cuello ✔️Espalda  🎊🎉🎊 PROM… https://t.co/7ziDU2N9nA,22.262945000000002,-97.874344,an,es,es
856,2020-07-24 13:06:11-05:00,@doelcitha,Div 4/4 🖤 en TGI Fridays Tampico https://t.co/GQ2WzsmpGw,22.26688,-97.8737,fi,es,es
872,2020-07-24 13:28:56-05:00,@Fragazz,Niegamelo.... en Tampico https://t.co/lMIJAJtomA,22.2553,-97.8686,es,es,es
930,2020-07-24 15:00:05-05:00,@bronnyk,Y tú qué esperas? Para lograr la mejor versión de tí!!! en Tampico https://t.co/9s2j646Z5v,22.2553,-97.8686,es,es,es
1018,2020-07-24 19:42:15-05:00,@OSCARLSAUCEDOH,#oscarsaucedo #gaboni #mexico🇲🇽 #gaboniprofessional #brasil🇧🇷 sigan  👉 gaboniprofessional #brasil #mexico… https://t.co/TCDRvdEI5K,22.264406,-97.78519,jv,it,gl
1034,2020-07-24 20:00:09-05:00,@JuLyaguiLeeRa,"Jaja aveces suelo ser insoportable agradable  jaja ❤️ en Fray Andrés de Olmos, Tampico https://t.co/YP2Dd2QxpT",22.24849,-97.87872,es,es,es
1111,2020-07-24 21:12:52-05:00,@eerodead,Save me♠️ en Tampico https://t.co/XcOH0JX8nv,22.2553,-97.8686,es,es,es
1137,2020-07-24 21:30:37-05:00,@LicDelasalud,"6 rituales mañaneros que mejorarán tu vida Para la mayoría de personas el día se pasa entre afanes y ocupaciones, y… https://t.co/PmHsizbATn",22.2667,-97.8333,es,es,es
1140,2020-07-24 21:33:13-05:00,@Maurorc,Pregunta sería; me lo daré?? #unsabrosobull en Las Glorias Del Santo https://t.co/jscfq2ebms,22.276705,-97.839935,es,es,es
1160,2020-07-24 22:04:10-05:00,@Fragazz,"No sabes que regalarme en mi cumpleaños próximamente? Te ayudo, mira esta foto , me harías muy feliz!!! 🤗🤗🤗 en Tamp… https://t.co/n3JYt9nWhv",22.2553,-97.8686,an,es,es
1182,2020-07-24 22:18:26-05:00,@OSCARLSAUCEDOH,#familia #family #sisterinlaw #cuñada #oscarsaucedo #mexico  #tampicomadero #tampico #mexico🇲🇽 #madero #tequila… https://t.co/7mtjS0gINO,22.279510000000002,-97.88662,an,es,es
1332,2020-07-25 12:00:23-05:00,@Novo_Muebles,✨Sillones Ocasionales. Modelos con las ultimas tendencias en diseño y colores. Mas de 200 exclusivas telas donde el… https://t.co/sJk6d4vIiM,22.252235,-97.87354,es,es,es
1398,2020-07-25 15:20:13-05:00,@rubenrivera,"Múltiples trabajos científicos comprueban que el uso de cubre boca, disminuye el porcentaje de contagios por… https://t.co/HcCt8em5CF",22.2553,-97.8686,es,es,es
1461,2020-07-25 15:56:24-05:00,@drraulbarragan,En la rinoplastía cerrada el acceso es a través de incisiones internas. en Dr. Raúl Barragán Hernández - Rinoplastí… https://t.co/Edmgjc5Ox2,22.268698,-97.85919,es,es,es
1479,2020-07-25 16:18:32-05:00,@Sa_Ag_Ro,Felicidad... #tampico en Tampico https://t.co/0py1YMwcsS,22.2553,-97.8686,es,es,es
1537,2020-07-25 16:55:43-05:00,@Fragazz,Hoy toca cara pero aun no tenemos aparatos para eso así que seguiré siendo feo 🦥 jajaja... a darle!!! #customfit… https://t.co/sC5GmxbcQV,22.269201000000002,-97.85385,gl,es,es
